Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,"('10',)",J. Winston QB - TB ,34.74,C. Carson RB - SEA ,9.10,M. Sanders RB - PHI ,6.90,D. Parker WR - MIA ,2.80,D. Moore WR - CAR ,8.10,D. Goedert TE - PHI ,4.10,T. Hill WR - KC ,7.00,J. Elliott K - PHI ,5.00,Vikings DEF ,13.00,A. Peterson RB - WAS ,13.60,J. Gordon WR - SEA ,3.40,D. Johnson RB - ARI ,11.30,K. Drake RB - ARI ,6.70,C. Samuel WR - CAR ,4.20,J. Washington WR - PIT ,3.30,90.74,Ari,99.24
Sawyer,"('1',)",P. Mahomes QB - KC ,13.92,M. Ingram RB - BAL ,7.90,C. McCaffrey RB - CAR ,13.50,T. Boyd WR - CIN ,8.20,D. Chark WR - JAX ,7.50,M. Andrews TE - BAL ,1.40,T. McLaurin WR - WAS ,11.70,M. Gay K - TB ,8.00,Saints DEF ,1.00,S. Watkins WR - KC ,5.00,D. Williams RB - KC ,0.00,D. Washington RB - LV ,15.60,J. Smith-Schuster WR - PIT ,0.00,C. Kirk WR - ARI ,8.90,G. Minshew QB - JAX ,13.58,73.12,Ben,91.18
Leo,"('7',)",L. Jackson QB - BAL ,19.80,K. Hunt RB - CLE ,12.80,S. Michel RB - NE ,0.90,D. Adams WR - GB ,4.10,O. Beckham WR - CLE ,3.90,M. Gesicki TE - MIA ,0.60,A. Jeffery WR - PHI ,0.00,W. Lutz K - NO ,12.00,Packers DEF ,7.00,A. Green WR - CIN ,0.00,M. Sanu WR - NE ,1.30,R. Woods WR - LA ,18.70,L. Bell RB - NYJ ,0.00,R. Jones RB - TB ,5.90,B. Scarbrough RB - DET ,7.00,61.10,Will,71.70
Ari,"('5',)",R. Tannehill QB - TEN ,27.54,J. Samuels RB - PIT ,3.40,S. Barkley RB - NYG ,6.70,A. Robinson WR - CHI ,16.80,K. Golladay WR - DET ,11.80,J. Cook TE - NO ,18.40,D. Montgomery RB - CHI ,6.60,J. Myers K - SEA ,6.00,Texans DEF ,2.00,J. Crowder WR - NYJ ,2.90,T. Coleman RB - SF ,0.60,D. Prescott QB - DAL ,17.46,C. Kupp WR - LA ,10.50,D. Guice RB - WAS ,4.20,J. Jacobs RB - LV ,0.00,99.24,Dylan,90.74
Elijah,"('9',)",J. Allen QB - BUF ,10.74,L. Fournette RB - JAX ,6.30,D. Singletary RB - BUF ,11.80,D. Hopkins WR - HOU ,19.20,A. Cooper WR - DAL ,14.30,T. Kelce TE - KC ,11.00,J. White RB - NE ,7.40,K. Fairbairn K - HOU ,8.00,Bears DEF ,2.00,L. Fitzgerald WR - ARI ,2.00,V. McDonald TE - PIT ,0.30,J. Howard RB - PHI ,0.00,D. Njoku TE - CLE ,0.40,K. Ballage RB - MIA ,0.00,M. Prater K - DET ,1.00,90.74,Jake,117.70
Jack,"('8',)",K. Cousins QB - MIN ,13.58,E. Elliott RB - DAL ,21.30,D. Cook RB - MIN ,13.50,J. Jones WR - ATL ,6.60,C. Godwin WR - TB ,9.10,D. Waller TE - LV ,5.20,B. Snell RB - PIT ,2.10,J. Tucker K - BAL ,6.00,Steelers DEF ,18.00,D. Brees QB - NO ,40.06,K. Allen WR - LAC ,8.30,J. Brown WR - BUF ,2.60,J. Conner RB - PIT ,0.00,A. Mattison RB - MIN ,6.40,Patriots DEF ,5.00,95.38,Henry,118.40
Ben,"('4',)",D. Watson QB - HOU ,28.08,L. McCoy RB - KC ,4.30,A. Jones RB - GB ,25.20,T. Lockett WR - SEA ,4.30,S. Diggs WR - MIN ,9.20,G. Kittle TE - SF ,12.70,J. Williams RB - GB ,2.40,M. Crosby K - GB ,8.00,Panthers DEF ,-3.00,L. Murray RB - NO ,9.40,A. Thielen WR - MIN ,0.00,H. Henry TE - LAC ,9.90,M. Breida RB - SF ,5.80,K. Murray QB - ARI ,9.96,D. Carlson K - LV ,3.00,91.18,Sawyer,73.12
Jake,"('2',)",R. Wilson QB - SEA ,10.60,T. Gurley RB - LA ,17.30,D. Henry RB - TEN ,22.90,J. Landry WR - CLE ,7.60,M. Thomas WR - NO ,19.40,K. Rudolph TE - MIN ,1.10,M. Mack RB - IND ,9.80,Y. Koo K - ATL ,18.00,Browns DEF ,11.00,J. Witten TE - DAL ,3.70,P. Lindsay RB - DEN ,11.50,M. Gallup WR - DAL ,10.90,R. Penny RB - SEA ,1.60,C. Ridley WR - ATL ,13.60,C. Sutton WR - DEN ,3.40,117.70,Elijah,90.74
Henry,"('6',)",C. Wentz QB - PHI ,19.90,D. Freeman RB - ATL ,15.40,J. Mixon RB - CIN ,24.60,M. Jones WR - DET ,3.80,D. Metcalf WR - SEA ,7.80,Z. Ertz TE - PHI ,21.10,C. Hyde RB - HOU ,7.80,G. Zuerlein K - LA ,4.00,Rams DEF ,14.00,M. Ryan QB - ATL ,21.32,J. Edelman WR - NE ,16.30,E. Sanders WR - SF ,27.10,R. Cobb WR - DAL ,4.30,A. Hooper TE - ATL ,3.20,B. Hill RB - ATL ,12.20,118.40,Jack,95.38
Will,"('3',)",A. Rodgers QB - GB ,11.40,M. Gordon RB - LAC ,14.40,A. Kamara RB - NO ,2.30,M. Evans WR - TB ,12.10,M. Brown WR - BAL ,-0.20,E. Engram TE - NYG ,0.00,N. Chubb RB - CLE ,11.70,H. Butker K - KC ,11.00,Ravens DEF ,9.00,T. Brady QB - NE ,10.76,T. Hilton WR - IND ,0.00,E. Ebron TE - IND ,0.00,T. Williams WR - LV ,3.50,A. Ekeler RB - LAC ,27.30,C. Boswell K - PIT ,11.00,71.70,Leo,61.10
